FileType,AVAPS II Data
FileFormat,CSV
MessageType,3
Comment: This file contains raw and derived data for the AVAPS II Sonde Type specified above.
Comment: Sonde data frames are organized into data blocks ending with a <name> BLOCK error flag.
Comment: BLOCK error flag values: 0=no bit errors; 1=bit error(s); -999=block data missing.
Comment: Missing data or out of range data value flag: -999.
Comment: The Date & Time (UTC) column is formatted as an ISO-8601 string.
Labels,Data Date & Time (UTC),Data Time (sec),Frame Time (sec),Frame Type,Frame Count,FRAME BLOCK error (0-1),PTU Time (sec),RSS421 Pressure (mb),RSS421 Air Temp (C),RSS421 RH (%),RSS421 RH Temp (C),Mixing Ratio (g/Kg),Dewpoint Temp (C),Virtual Temp (C),Potential Temp (K),Equiv Potential Temp (K),PTU Vertical Velocity (m/s),Geopotential Altitude (m),PTU BLOCK error (0-1),GPS VEL Time (sec),GPS Wind Direction (deg),GPS Wind Speed (m/s),GPS U Wind (m/s),GPS V Wind (m/s),GPS W.S. Accuracy (m/s),GPS Vert Velocity (m/s),GPS MSL Altitude (m),GPS SOG (km/h),GPS COG (deg),GPS Satellites,GPS Fix Type,GPS VEL CRC-16,GPS VEL BLOCK error (0-1),GPS Longitude (deg),GPS Latitude (deg),GPS Horizontal Accuracy,GPS Vertical Accuracy,GPS POS CRC-16,GPS POS BLOCK error (0-1),Sea Surface Temp (C) ,SST (body temp) (C) ,Spare 1 (U16),Spare 2 (U16),Spare 3 (U16),Spare 4 (U16),Spare 5 (U16),Spare 6 (U16),Spare 7 (U16),PTU Module Status (U16),PTU Module Errors (U16),Parachute L.D. CDS (U16),GPS Resets Count (U8),GPS Loop Speed (U8),GPS Tracking Position (U8),MISC CRC-16,MISC BLOCK error (0-1),Sonde ID,Launch Detect Count,Battery Voltage (vdc),RSS421 Internal Temp (C),Revision Control,ENGR CRC-16,ENGR BLOCK error (0-1)
Data,2024-08-11 13:18:18.228Z,0,0,3,70,0,0,879.523621,27.606167,9.406697,32.604248,2.467832,-7.537638,28.057061,312.003707,318.440716,-999,-999,0,-999,10.5,237.37,-43.257247,-233.395217,0.15,-0.05,12982.32,237.37,190.5,7,3,42954,0,-26.340924,8.503632,1.55,2.03,15284,0,0,0,0,0,0,0,0,0,0,4104,0,19943,6,0,62,16008,0,234150033,0,5.807,28.458874,16690,65017,0
Data,2024-08-11 13:18:18.478Z,0.25,0,3,70,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.25,10.5,237.38,-43.259069,-233.40505,0.15,-0.07,12982.29,237.38,190.5,7,3,18352,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,234150033,0,5.807,28.458874,16690,65017,0
Data,2024-08-11 13:18:18.728Z,0.5,0.5,3,71,0,0.5,879.481812,27.611927,9.405607,32.62191,2.468499,-7.534774,28.062951,312.013925,318.452775,-999,-999,0,-999,10.49,237.35,-43.21287,-233.383098,0.15,-0.1,12982.22,237.35,190.49,7,3,48792,0,-26.341121,8.502579,1.56,2.05,6612,0,0,0,0,0,0,0,0,0,0,4104,0,19939,6,0,62,53058,0,234150033,0,5.858,28.458874,16690,7118,0
Data,2024-08-11 13:18:18.978Z,0.75,0.5,3,71,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.75,10.49,237.39,-43.220152,-233.422429,0.14,-0.04,12981.86,237.39,190.49,8,3,20583,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,234150033,0,5.858,28.458874,16690,7118,0
Data,2024-08-11 13:18:19.228Z,1,1,3,72,0,1,879.577209,27.618408,9.39234,32.63472,2.465673,-7.548131,28.068927,312.010969,318.442174,-999,-999,0,-999,10.5,237.37,-43.257247,-233.395217,0.14,-0.21,12981.6,237.37,190.5,8,3,18906,0,-26.341321,8.501526,1.52,1.99,39852,0,0,0,0,0,0,0,0,0,0,4104,0,19942,6,0,62,35582,0,234150033,0,5.833,28.49354,16690,27800,0
Data,2024-08-11 13:18:19.478Z,1.25,1,3,72,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1.25,10.49,237.4,-43.221973,-233.432262,0.14,-0.09,12981.37,237.4,190.49,8,3,61349,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,234150033,0,5.833,28.49354,16690,27800,0
Data,2024-08-11 13:18:19.728Z,1.5,1.5,3,73,0,1.5,879.550598,27.619473,9.389401,32.645977,2.465128,-7.551373,28.069893,312.014773,318.444596,-999,-999,0,-999,10.49,237.45,-43.231076,-233.481427,0.14,-0.04,12981.19,237.45,190.49,8,3,9543,0,-26.341519,8.500473,1.38,1.79,8473,0,0,0,0,0,0,0,0,0,0,4104,0,19942,6,0,62,35582,0,234150033,0,5.833,28.458874,16690,49899,0
Data,2024-08-11 13:18:19.978Z,1.75,1.5,3,73,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1.75,10.5,237.45,-43.271826,-233.473878,0.13,-0.17,12981.02,237.45,190.5,8,3,45546,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,234150033,0,5.833,28.458874,16690,49899,0
Data,2024-08-11 13:18:20.228Z,2,2,3,74,0,2,879.562744,27.622698,9.379603,32.658791,2.462978,-7.56244,28.072732,312.016887,318.441018,-999,-999,0,-999,10.45,237.55,-43.086202,-233.609892,0.14,0.39,12980.81,237.55,190.45,8,3,23987,0,-26.341717,8.499421,1.23,1.58,12963,0,0,0,0,0,0,0,0,0,0,4104,0,19933,6,0,61,8188,0,234150033,0,5.788,28.49354,16690,23563,0
Data,2024-08-11 13:18:20.478Z,2.25,2,3,74,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2.25,10.52,237.4,-43.344192,-233.409599,0.14,-0.37,12980.8,237.4,190.52,8,3,47800,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,234150033,0,5.788,28.49354,16690,23563,0
Data,2024-08-11 13:18:20.728Z,2.5,2.5,3,75,0,2.5,879.621399,27.622318,9.401025,32.654011,2.468405,-7.533209,28.073341,312.010542,318.448852,-999,-999,0,-999,10.57,237.38,-43.544195,-233.352025,0.15,-0.95,12980.57,237.38,190.57,8,3,20471,0,-26.341914,8.498367,1.44,1.84,26694,0,0,0,0,0,0,0,0,0,0,4104,0,19930,6,0,61,12973,0,234150033,0,5.852,28.49354,16690,45270,0
Data,2024-08-11 13:18:20.978Z,2.75,2.5,3,75,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2.75,10.5,237.5,-43.280937,-233.523041,0.13,-0.2,12980.24,237.5,190.5,8,3,3666,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,234150033,0,5.852,28.49354,16690,45270,0
Data,2024-08-11 13:18:21.228Z,3,3,3,76,0,3,879.593872,27.623758,9.382878,32.654011,2.463907,-7.55712,28.073963,312.014829,318.441344,-999,-999,0,-999,10.5,237.53,-43.286404,-233.552538,0.13,-0.14,12980.21,237.53,190.5,8,3,6716,0,-26.342111,8.497314,1.27,1.61,29441,0,0,0,0,0,0,0,0,0,0,4104,0,19963,6,0,61,51436,0,234150033,0,5.833,28.49354,16690,27800,0
Data,2024-08-11 13:18:21.478Z,3.25,3,3,76,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3.25,10.5,237.52,-43.284582,-233.542706,0.13,-0.25,12980.17,237.52,190.5,8,3,32956,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,234150033,0,5.833,28.49354,16690,27800,0
Data,2024-08-11 13:18:21.728Z,3.5,3.5,3,77,0,3.5,879.436951,27.628428,9.349547,32.655605,2.456234,-7.59962,28.077241,312.035595,318.442217,-999,-999,0,-999,10.5,237.55,-43.290049,-233.572203,0.14,-0.13,12980.09,237.55,190.5,8,3,52375,0,-26.342308,8.49626,1.18,1.49,26058,0,0,0,0,0,0,0,0,0,0,4104,0,19941,6,0,60,5189,0,234150033,0,5.852,28.528219,16690,31192,0
Data,2024-08-11 13:18:21.978Z,3.75,3.5,3,77,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3.75,10.58,237.47,-43.601446,-233.432891,0.13,-0.85,12980.11,237.47,190.58,8,3,19921,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,234150033,0,5.852,28.528219,16690,31192,0
Data,2024-08-11 13:18:22.228Z,4,4,3,78,0,4,879.505798,27.628428,9.406437,32.657196,2.471045,-7.521132,28.07994,312.028608,318.474114,-999,-999,0,-999,10.52,237.57,-43.37523,-233.576742,0.13,-0.29,12979.94,237.57,190.52,8,3,10356,0,-26.342504,8.495206,1.17,1.47,42946,0,0,0,0,0,0,0,0,0,0,4104,0,19821,6,0,60,61213,0,234150033,0,5.858,28.528219,16690,31923,0
Data,2024-08-11 13:18:22.478Z,4.25,4,3,78,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,4.25,10.52,237.57,-43.37523,-233.576742,0.14,-0.2,12979.82,237.57,190.52,8,3,21207,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,234150033,0,5.858,28.528219,16690,31923,0
Data,2024-08-11 13:18:22.728Z,4.5,4.5,3,79,0,4.5,879.294312,27.631304,9.387734,32.670048,2.467124,-7.544711,28.082106,312.053055,318.488672,-999,-999,0,-999,10.54,237.58,-43.45859,-233.571418,0.31,-0.52,12979.75,237.58,190.54,8,3,20687,0,-26.342701,8.494152,1.23,1.54,55522,0,0,0,0,0,0,0,0,0,0,4104,0,19785,6,0,60,20704,0,234150033,0,5.781,28.528219,16690,22830,0
Data,2024-08-11 13:18:22.978Z,4.75,4.5,3,79,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,4.75,10.48,237.65,-43.226704,-233.685632,0.13,-0.47,12979.33,237.65,190.48,8,3,45844,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,234150033,0,5.781,28.528219,16690,22830,0
